tool_ratio,qps,seed,policy,count,mean_wait,p95_wait,p99_wait,max_wait,starvation_count,mean_speedup_vs_fcfs,p95_speedup_vs_fcfs,p99_ratio_vs_fcfs
0.0,5.0,505,ltr_aging,500,10648.847,32302.646,40341.112,45887.053,294,1.574,0.95,1.287
0.0,5.0,505,tail_safe,500,16765.335,30703.052,31350.325,31598.465,451,1.0,1.0,1.0
0.0,5.0,505,gated_hybrid,500,10648.847,32302.646,40341.112,45887.053,294,1.574,0.95,1.287
0.0,2.0,606,fcfs,500,309.175,1185.913,1727.66,2883.187,0,1.0,1.0,1.0
0.0,2.0,606,pure_ltr,500,244.158,985.98,1583.089,2415.732,0,1.266,1.203,0.916
0.0,2.0,606,ltr_aging,500,244.178,928.104,1471.499,2233.491,0,1.266,1.278,0.852
0.0,2.0,606,tail_safe,500,309.175,1185.913,1727.66,2883.187,0,1.0,1.0,1.0
0.0,2.0,606,gated_hybrid,500,244.178,928.104,1471.499,2233.491,0,1.266,1.278,0.852
0.0,3.0,606,fcfs,500,1342.802,4005.402,7571.743,8087.611,17,1.0,1.0,1.0
0.0,3.0,606,pure_ltr,500,745.968,2850.843,9148.485,31766.606,14,1.8,1.405,1.208
0.0,3.0,606,ltr_aging,500,880.779,3884.381,6338.993,8663.001,13,1.525,1.031,0.837
0.0,3.0,606,tail_safe,500,1342.802,4005.402,7571.743,8087.611,17,1.0,1.0,1.0
0.0,3.0,606,gated_hybrid,500,880.779,3884.381,6338.993,8663.001,13,1.525,1.031,0.837
0.0,4.0,606,fcfs,500,7347.97,15380.682,19648.799,20404.392,391,1.0,1.0,1.0
0.0,4.0,606,pure_ltr,500,3136.575,14059.036,51172.508,126264.781,49,2.343,1.094,2.604
0.0,4.0,606,ltr_aging,500,4707.6,15494.262,21139.25,27554.617,191,1.561,0.993,1.076
0.0,4.0,606,tail_safe,500,7347.97,15380.682,19648.799,20404.392,391,1.0,1.0,1.0
0.0,4.0,606,gated_hybrid,500,4707.6,15494.262,21139.25,27554.617,191,1.561,0.993,1.076
0.0,5.0,606,fcfs,500,18039.823,39958.858,43730.216,44378.132,445,1.0,1.0,1.0
0.0,5.0,606,pure_ltr,500,8171.985,60380.103,108027.687,133459.71,88,2.208,0.662,2.47
0.0,5.0,606,ltr_aging,500,11505.865,41700.272,52553.623,60966.884,298,1.568,0.958,1.202
0.0,5.0,606,tail_safe,500,18039.823,39958.858,43730.216,44378.132,445,1.0,1.0,1.0
0.0,5.0,606,gated_hybrid,500,11505.865,41700.272,52553.623,60966.884,298,1.568,0.958,1.202
0.0,2.0,707,fcfs,500,337.309,1699.384,3112.277,3651.774,0,1.0,1.0,1.0
0.0,2.0,707,pure_ltr,500,245.746,946.658,3162.72,5844.853,2,1.373,1.795,1.016
0.0,2.0,707,ltr_aging,500,265.694,1152.502,2820.576,4469.856,0,1.27,1.475,0.906
0.0,2.0,707,tail_safe,500,337.309,1699.384,3112.277,3651.774,0,1.0,1.0,1.0
0.0,2.0,707,gated_hybrid,500,265.694,1152.502,2820.576,4469.856,0,1.27,1.475,0.906
0.0,3.0,707,fcfs,500,4425.961,8149.948,9184.229,9310.467,265,1.0,1.0,1.0
0.0,3.0,707,pure_ltr,500,2036.366,5214.545,57150.893,83126.3,27,2.173,1.563,6.223
0.0,3.0,707,ltr_aging,500,2885.281,9636.873,11925.476,15943.71,129,1.534,0.846,1.298
0.0,3.0,707,tail_safe,500,4425.961,8149.948,9184.229,9310.467,265,1.0,1.0,1.0
0.0,3.0,707,gated_hybrid,500,2885.281,9636.873,11925.476,15943.71,129,1.534,0.846,1.298
0.0,4.0,707,fcfs,500,11370.501,20471.729,21174.525,21795.27,389,1.0,1.0,1.0
0.0,4.0,707,pure_ltr,500,5113.394,27797.897,110656.601,126928.236,62,2.224,0.736,5.226
0.0,4.0,707,ltr_aging,500,7485.159,22691.507,27617.602,39950.995,253,1.519,0.902,1.304
0.0,4.0,707,tail_safe,500,11370.501,20471.729,21174.525,21795.27,389,1.0,1.0,1.0
0.0,4.0,707,gated_hybrid,500,7485.159,22691.507,27617.602,39950.995,253,1.519,0.902,1.304
0.0,5.0,707,fcfs,500,23799.605,45441.146,48008.963,48413.077,462,1.0,1.0,1.0
0.0,5.0,707,pure_ltr,500,11531.388,81979.202,119615.047,130374.314,106,2.064,0.554,2.492
0.0,5.0,707,ltr_aging,500,15667.429,47361.522,55517.578,69683.929,320,1.519,0.959,1.156
0.0,5.0,707,tail_safe,500,23799.605,45441.146,48008.963,48413.077,462,1.0,1.0,1.0
0.0,5.0,707,gated_hybrid,500,15667.429,47361.522,55517.578,69683.929,320,1.519,0.959,1.156
0.25,2.0,42,fcfs,500,194.692,921.572,1546.069,2075.95,0,1.0,1.0,1.0
0.25,2.0,42,pure_ltr,500,186.961,910.12,2021.669,3467.091,0,1.041,1.013,1.308
0.25,2.0,42,ltr_aging,500,185.756,908.52,1742.734,3467.091,0,1.048,1.014,1.127
0.25,2.0,42,tail_safe,500,181.443,844.456,1351.023,2131.44,0,1.073,1.091,0.874
0.25,2.0,42,gated_hybrid,500,161.434,771.108,1233.356,2888.35,0,1.206,1.195,0.798
0.25,3.0,42,fcfs,500,637.829,2024.646,2312.855,2500.827,0,1.0,1.0,1.0
0.25,3.0,42,pure_ltr,500,556.608,2062.492,9297.413,13797.103,9,1.146,0.982,4.02
0.25,3.0,42,ltr_aging,500,577.787,2170.065,7028.041,13464.083,6,1.104,0.933,3.039
0.25,3.0,42,tail_safe,500,589.729,2023.79,3754.554,5920.851,2,1.082,1.0,1.623
0.25,3.0,42,gated_hybrid,500,461.063,1892.327,3290.665,6078.468,1,1.383,1.07,1.423
0.25,4.0,42,fcfs,500,1261.289,3079.93,3480.514,3865.716,0,1.0,1.0,1.0
0.25,4.0,42,pure_ltr,500,1609.594,9358.059,22106.531,55138.158,34,0.784,0.329,6.352
0.25,4.0,42,ltr_aging,500,1587.253,9523.35,18626.874,40640.585,36,0.795,0.323,5.352
0.25,4.0,42,tail_safe,500,1155.361,3079.181,4723.414,8228.263,5,1.092,1.0,1.357
0.25,4.0,42,gated_hybrid,500,890.854,3379.99,5143.927,9932.113,7,1.416,0.911,1.478
0.25,5.0,42,fcfs,500,13850.296,23567.399,24040.492,24258.585,431,1.0,1.0,1.0
0.25,5.0,42,pure_ltr,500,13481.556,84421.971,105460.801,115027.163,126,1.027,0.279,4.387
0.25,5.0,42,ltr_aging,500,13790.792,68498.342,101459.707,113627.993,263,1.004,0.344,4.22
0.25,5.0,42,tail_safe,500,12699.515,23305.862,42058.111,46181.067,397,1.091,1.011,1.749
0.25,5.0,42,gated_hybrid,500,9580.479,31054.704,39923.917,47179.133,276,1.446,0.759,1.661
0.25,2.0,6806,fcfs,500,174.364,843.558,1466.642,1727.294,0,1.0,1.0,1.0
0.25,2.0,6806,pure_ltr,500,148.681,712.424,1555.107,3201.821,0,1.173,1.184,1.06
0.25,2.0,6806,ltr_aging,500,147.951,723.576,1529.913,1946.817,0,1.179,1.166,1.043
0.25,2.0,6806,tail_safe,500,160.07,825.758,1446.742,1904.231,0,1.089,1.022,0.986
0.25,2.0,6806,gated_hybrid,500,141.546,685.777,1293.574,1946.817,0,1.232,1.23,0.882
0.25,3.0,6806,fcfs,500,459.714,1735.419,3280.997,4133.77,0,1.0,1.0,1.0
0.25,3.0,6806,pure_ltr,500,482.234,1852.357,8642.106,11268.183,12,0.953,0.937,2.634
0.25,3.0,6806,ltr_aging,500,465.022,1862.605,7144.082,10068.892,9,0.989,0.932,2.177
0.25,3.0,6806,tail_safe,500,410.768,1612.481,3733.212,4201.84,0,1.119,1.076,1.138
0.25,3.0,6806,gated_hybrid,500,330.617,1351.777,3150.487,4340.498,0,1.39,1.284,0.96
0.25,4.0,6806,fcfs,500,2005.565,4370.607,4960.822,5062.431,1,1.0,1.0,1.0
0.25,4.0,6806,pure_ltr,500,2030.343,11678.923,28661.527,50401.751,54,0.988,0.374,5.778
0.25,4.0,6806,ltr_aging,500,1940.41,11298.096,21745.36,26900.638,50,1.034,0.387,4.383
0.25,4.0,6806,tail_safe,500,1809.538,4555.445,8115.522,9984.191,17,1.108,0.959,1.636
0.25,4.0,6806,gated_hybrid,500,1296.177,5151.669,9165.785,11150.257,27,1.547,0.848,1.848
0.25,5.0,6806,fcfs,500,8095.015,14682.427,15347.296,15774.269,387,1.0,1.0,1.0
0.25,5.0,6806,pure_ltr,500,8955.443,73347.997,98837.416,105731.07,92,0.904,0.2,6.44
0.25,5.0,6806,ltr_aging,500,8290.272,44653.442,83109.326,98648.766,197,0.976,0.329,5.415
0.25,5.0,6806,tail_safe,500,7416.453,15676.955,22061.013,28561.026,342,1.091,0.937,1.437
0.25,5.0,6806,gated_hybrid,500,5527.598,18279.166,23040.271,28163.486,225,1.464,0.803,1.501
0.25,2.0,20260709,fcfs,500,201.199,975.312,1632.725,2186.277,0,1.0,1.0,1.0
0.25,2.0,20260709,pure_ltr,500,167.417,793.344,1833.961,3181.15,0,1.202,1.229,1.123
0.25,2.0,20260709,ltr_aging,500,165.568,776.333,1833.961,3181.15,0,1.215,1.256,1.123
0.25,2.0,20260709,tail_safe,500,198.861,937.576,1862.372,2872.503,0,1.012,1.04,1.141
0.25,2.0,20260709,gated_hybrid,500,168.566,793.344,1830.851,2605.413,0,1.194,1.229,1.121
0.25,3.0,20260709,fcfs,500,576.405,1993.82,2780.793,3117.777,0,1.0,1.0,1.0
0.25,3.0,20260709,pure_ltr,500,458.403,1668.335,6331.551,9359.999,8,1.257,1.195,2.277
0.25,3.0,20260709,ltr_aging,500,469.26,2008.147,4265.792,6678.744,4,1.228,0.993,1.534
0.25,3.0,20260709,tail_safe,500,532.246,2155.226,2894.184,6909.642,1,1.083,0.925,1.041
0.25,3.0,20260709,gated_hybrid,500,405.718,1597.231,3972.996,7183.922,2,1.421,1.248,1.429
0.25,4.0,20260709,fcfs,500,945.909,2860.95,3443.226,3887.997,0,1.0,1.0,1.0
0.25,4.0,20260709,pure_ltr,500,884.546,3908.194,12981.236,19631.435,22,1.069,0.732,3.77
